"# 文本key","文本value"
"Common_JingMai","Meridians"
"Common_Relation","Relations"
"Common_Attitude","Attitudes"
"Common_Destiny","Karma"
"Common_Unlock_Collection","Unlock Illustration"
"Common_Return_Login","Leaving Miniworld..."
"Common_Story","Story"
"Common_Move_Restraint","Move Counters"
"Common_Prop","Attributes"
"Common_Fade","After the time it takes to burn half an incense stick..."
"Common_Fade_Sp","Time passes..."
"Common_TianLao","The abnormal cultivator... activates the array... to imprison the soul..."
"Common_BreakTianLao","You freed the cultivator. After countless hardships， you escape the Huanmos Temple together."
"Common_BreakTianLao_sp","You were rescued by the Heavenly Saint and sent back to the Great Wilds..."
"Common_RoyalPrison","You were imprisoned in a dungeon..."
"Common_RoyalPrison_Sp","You were imprisoned in a dungeon， with your pipa bones pierced..."
"Common_RoyalPrison_Sp_Die","You were imprisoned in a dungeon， with your pipa bones pierced... waiting to be beheaded..."
"Common_FreeCriminal","After awhile， you were released..."
"Common_FreeCriminal_NPC","After awhile， the prisoner was released ..."
"Common_KillHead","Ask to be beheaded..."
"Common_Move_To","Going somewhere..."
"Common_Find_Somebody","Looking for someone..."
"Common_Find_Something","Locating {0}..."
"Common_Move_To_Building","Going to {0}..."
"Common_Move_To_Self_Home","Going to someone’s home..."
"Common_Move_To_Other_Home","Going to my home..."
"Common_Design","Design"
"Common_Lock","Locked"
"Common_GarnishLock","Crafting Locked"
"Common_Out_World","Mysterious Region under development. Stay tuned！"
"Common_None","None"
"Common_Weiget","「Weight」 {0}"
"Common_Min","Min"
"Common_Max","Max"
"Common_All","All"
"Common_Fake","Nobody"
"Common_Easy","Easy"
"Common_Normal","Medium"
"Common_Hard","Hard"
"Common_VeryHard","Very Hard"
"Common_InputNum","Enter Quantity"
"Common_Cost","Consume"
"Common_Reason","「Reason」"
"Common_Money","Coins"
"Common_Num_Btn","Number Button"
"Common_Active","Activated"
"Common_Unactive","Deactivated"
"Common_Has_Died","Has Died"
"Common_Get_Sth","Obtained"
"Common_Get_Debuff","Inflicted"
"Common_Trap","Trap"
"Common_Hold","Owned"
"Common_Master","Master"
"Common_Unit_Price","Unit Price"
"Common_Total_Price","Total"
"Common_Rule","Rule"
"Common_Choose_sth","Choose Item"
"Common_Choose_Member","Choose Member"
"Common_Choose_Building","Choose Building"
"Common_Choose","choose"
"Common_None_Owner","「Ownerless」"
"Common_Has_Received","「Claimed」"
"Common_Can_Submit","「Ready」"
"Common_All_2","All"
"Common_Agree","Agree"
"Common_Degree","Refuse"
"Common_Wait_Agree","Not now"
"Common_skip_time","After the time it takes to burn a full incense stick..."
"Common_Be_WuLinLeader","Became Champion"
"Common_WuLin_Failure","Defeated"
"Common_P_Attitude","Affinity："
"Common_Btn_Attitude","Attitude："
"Common_Teach_Condition","You must advance this skill to Grandmaster level in order to teach it."
"Common_Teach_Ability_Condition","You can only teach this ability to those whose level is lower than yours."
"Common_Take","Claim"
"Common_Cure_SomeOne","You cured {0}."
"Common_Forgive_SomeOne","You showed {0} mercy."
"Common_Teach_SomeOne","You taught {0}."
"Common_Alms_SomeOne","You offered some items to {0}."
"Common_Cripple_SomeOne","You crippled {0}."
"Common_Abolish_SomeOne","You destroyed {0}'s Kungfu."
"Common_TakeHead_SomeOne","Due to your stained aura， the word got out that you took {0}'s head."
"Common_Kill_SomeOne_InCombat","You executed {0}."
"Common_Grab_SomeOne","You were spotted looting {0} and the word spread."
"Common_Attitude_Up","Affinity Up"
"Common_Attitude_Down","Affinity Down"
"Common_Relation_Apply_300","{0} and {1} started a Feud."
"Common_Relation_Apply_302","{0} and {1} started a Grudge."
"Common_Relation_Apply","{0} and {1} started a Feud."
"Common_Attitude_Up_1","{0}'s Affinity to {1} increased."
"Common_Attitude_Down_1","{0}'s Affinity to {1} decreased."
"Common_Spread_Msg_Tips","Are you sure you want to spread this message？"
"Common_AI_Cur","Currently"
"Common_overseas","Overseas"
"Common_Say_Hi","Greet"
"Common_Command","Team up"
"Common_Not_Comprehend","Unacquired"
"Common_On_Equiped","Equipped"
"Common_Monster_Name_1","Sr."
"Common_Monster_Name_2","Jr."
"Common_Monster_Name_3","III"
"Common_Monster_Name_4","IV"
"Common_Monster_Name_5","V"
"Common_Monster_Name_6","VI"
"Common_Monster_Name_7","VII"
"Common_Monster_Name_8","VIII"
"Common_Monster_Name_9","IX"
"Common_Monster_Name_10","X"
"Common_Monster_Name_11","XI"
"Common_Half","Half"
"Common_Unknown","Unknown"
"Common_Unknown_1","？？？"
"Common_Fabricator","(Fabricated)"
"Common_AttiToMe","Affinity"
"Common_Specialties","Specialties"
"Common_MapTag","Mark Location"
"Common_Position","Location"
"Common_SplitEquip","Dismantle equipment"
"Common_Split","Dismantle"
"Common_Split_All","Decompose All"
"Common_Other_Taget","Other"
"Common_Leave","Leave"
"Common_Empty_Pos","Vacant"
"Common_Input_XiuWei","Upgrade"
"Common_Recycle","Retrieve"
"Common_Captive","Corral"
"Common_Love_Title","Share the bed"
"Common_Food","Food"
"Common_Human_Num","{0}"
"Common_In_Operating","Open"
"Common_Free","【Free】"
"Common_Value_Max","（<ArguNameMax> Limit Reached </>）"
"Common_Store_Atk","（<ArguNum>{0}</> Eloquence Stored）"
"Common_Allow","Allow"
"Common_Reject","Reject"
"Common_Blow_Up","Enlarge"
"Common_Lessen","Reduce"
"Common_Select","Select"
"Common_Screen","Filter"
"Common_Selected","Selected"
"Common_Occupied","Occupied"
"Common_Add_Attact","{0} add {1}"
"Common_Load","Load"
"Common_Save","Save"
"Common_Template","Template"
"Common_SaveTemplate","Save template"
"Common_Paper","Recipe"
"Common_Over_Dis","Too far"
"Common_Random","Random"
"Common_Lv_Num","Level {0}"
"Common_Refresh","Refresh"
"Common_New","New"
"Common_Next_Page","Next page"
"Common_Pre_Page","Previous"
"Common_Rarity_0","Ordinary"
"Common_Rarity_1","Good"
"Common_Rarity_2","Excellent"
"Common_Not_Name","Anonymous"
"# 通用物品详情按钮",""
"Common_Btn_Unlock","Unlock"
"Common_Btn_Item","Crafting"
"Common_Btn_Equip","Weaving"
"Common_Btn_Weapon","Forging"
"Common_Btn_Cook","Cooking"
"Common_Switch_Unlock","Unlock"
"Common_Switch_Lock","Lock"
"# 图纸",""
"Common_Paper_Item","Crafting Recipe"
"Common_Paper_Equip","Weaving Recipe"
"Common_Paper_Weapon","Forging Recipe"
"Common_Paper_Cook","Cooking Recipe"
"Common_Gu_Item","Gu Worm"
"# 黑屏描述",""
"Black_Desc_Gong_Ren","{0} held his breath and concentrated， he lifted his hand and slashed with his sword！ With a thunderous cry， {1} has become an eunuch..."
"# 称呼",""
"call_desc_gender_0","Young Hero"
"call_desc_gender_1","Young Hero"
"call_desc_1","You"
"call_desc_good_2_1","Dad"
"call_desc_good_2_2","Papa"
"call_desc_good_2_3","Pops"
"call_desc_good_2_4","Father"
"call_desc_good_3_1","Mother"
"call_desc_good_3_2","Mum"
"call_desc_good_3_3","Mom"
"call_desc_good_4_1","Darling"
"call_desc_good_4_2","Sweetheart"
"call_desc_good_4_3","Dearest"
"call_desc_good_4_4","Beloved"
"call_desc_good_4_5","My Lord"
"call_desc_good_5_1","My Lady"
"call_desc_good_5_2","Dearest"
"call_desc_good_5_3","Sweetheart"
"call_desc_good_5_4","Beloved"
"call_desc_good_6_1","Elder Brother"
"call_desc_good_6_2","Big Brother"
"call_desc_good_6_3","Bro"
"call_desc_good_7_1","Little Brother"
"call_desc_good_7_2","Lil' Bro"
"call_desc_good_8_1","Elder Sister"
"call_desc_good_8_2","Big Sister"
"call_desc_good_9_1","Little sister"
"call_desc_good_9_2","Lil' Sis"
"call_desc_good_10_1","My Boy"
"call_desc_good_10_2","Son"
"call_desc_good_10_3","Kiddo"
"call_desc_bad_10_1","Unfilial Child"
"call_desc_bad_10_2","Ungrateful Brat"
"call_desc_good_11_1","Daughter"
"call_desc_good_11_2","My Daughter"
"call_desc_good_12_1","Senior Brother"
"call_desc_good_13_1","Senior Sister"
"call_desc_good_14_1","Junior Brother"
"call_desc_good_15_1","Junior Sister"
"call_desc_good_16_1","Brother"
"call_desc_bad_17_1","You bastard"
"call_desc_good_18_1","Master"
"call_desc_good_20_1","Dear"
"call_desc_bad_20_1","Cheater"
"# 战斗页面",""
"combat_panel_1","Cast Zone"
"combat_panel_2","Countering Moves"
"combat_panel_3","{0} release"
"combat_change_defender_tips","Opponent switched to 「{0}」"
"# 战斗结果选项",""
"combat_jiao_xun","Teach a lesson"
"combat_rao_shu","Show mercy"
"combat_ji_yun","Knock out"
"combat_xia_zhong_shou","Cripple (Increase Enmity)"
"combat_fei_chu","Destroy Kungfu (Grudge)"
"combat_suo_yao","Demand items"
"combat_fa_jin","Fine them {0}"
"combat_fang_guo","Leave them be (Grateful +100)"
"combat_zhi_liao","Help heal (Grateful +150)"
"Combat_Result_Message_0","After some deliberation， {0} decides to knock you out."
"Combat_Result_Message_1","After some deliberation， {0} decides to break your legs."
"Combat_Result_Message_2","After some deliberation， {0} decides to destroy your Kungfu."
"Combat_Result_Message_3","After some deliberation， {0} decides to demand items from you."
"Combat_Result_Message_4","After some deliberation， {0} decides to let you go. Affinity down."
"Combat_Result_Message_5","After some deliberation， {0} decides to heal your wounds."
"Combat_Result_Message_7","{0} decides to fine you."
"Combat_Result_Message_8","{0} decides to break your legs and fine you."
"Combat_Result_Message_9","{0} decides to imprison you in the dungeon."
"Combat_Result_Message_10","{0} decides to imprison you in the dungeon and pierce your pipa bones."
"Combat_Result_Message_11","{0} decides imprison you in the dungeon， pierce your pipa bones， and sentence you to beheading."
"Combat_target_die_message","You might kill the opponent with your attack. Use less power and spare them？"
"target_die_msg_confirm","Show Mercy"
"target_die_msg_cancel","Execute"
"# 天书宝典",""
"Tianshu_Combat","Battle"
"Tianshu_BUFF","Status"
"Tianshu_Jingmai","Meridian"
"Tianshu_Facility","Facilities"
"Tianshu_Sect","Sect"
"Tianshu_Interact","Interaction"
"Tianshu_Tile","Tile"
"Tianshu_None","Heavenly Scrolls are collected you progress. You can check them at any time when you run into problems."
"# 交易系统",""
"Deal_Title","Exchange"
"Deal_My_Item","My Items"
"Deal_Other_Item","Their Items"
"Deal_My_Skill","My Skills"
"Deal_Other_Skill","Their Skills"
"Deal_My_Equip","My Gear"
"Deal_Other_Equip","Their Gear"
"Deal_Confirm","Confirm Trade"
"Deal_Cancel","Cancel Trade"
"Deal_Status_0","[#1you]， What do you want to trade？"
"Deal_Status_1","Deal！"
"Deal_Status_2","That's not enough， I won't trade at a loss."
"Deal_My_Deal_Reward","My Profit"
"Deal_Need_Item","Required Items"
"Deal_Info_Tips","Their satisfaction with this trade"
"Deal_Info_Tips_1","Their satisfaction with the items"
"Deal_Lose_Attitude","You took advantage of {0}’s Affinity toward you to profit in the trade. Their affinity toward you has decreased.\\n{1}"
"Deal_Desc","Fair Trade"
"Deal_Alms_0","Please， do you have something to spare？"
"Deal_Alms_1","Thank you！ Thank you so much！"
"Deal_Balance_Tips","Click to make up the difference with Coins."
"Deal_Steal_value","<Huang22>You can steal another {0} worth of items (based on Geomancy Level).</>"
"Deal_Counter_Desc","<Huang22>Discount： {0}%</>"
"# 翻找系统",""
"Search_Other_Item","Container Items"
"Search_Other_Skill","Container Skills"
"Search_Other_Equip","Container Equipment"
"Search_Take_All","Take All"
"Search_Put_All","Place All"
"Search_Take_All_1","Take All {0}"
"Search_Put_All_1","Place All {0}"
"Search_Finish","Confirm"
"Search_Cancel","Cancel"
"# 道具包裹",""
"Item_My_Item","My Items"
"Item_Move_Item","Move Item"
"Item_Select_Item","Select Item"
"Item_Rotate_Item","Rotate Item"
"Item_Select_Num","Select Quantity"
"Item_All_Price","Total Value"
"ZhiZuo","Produce"
"need_resource","Required Resources"
"ZhiGu","Craft Toxin"
"item_use_btn_name_93002","Summon"
"item_use_btn_name_93010","Open"
"place_item_desc","<ItemTipNameGray>Placing： </><ItemTipNameGreen>{0}</> <ItemTipNameGray></> <ItemTipNameGreen>{1}</> <ItemTipNameGray>Left</>"
"Item_Include_Item","Contents"
"# 通用制作",""
"Demand_Desc","Crafting Requirement"
"Demand_Unlock_Desc","Unlock Requirement"
"Demand_Ability_Desc","Crafting Ability Requirement"
"Demand_Ability_Unlock_Desc","Unlock Ability Requirement"
"# 绝学升级",""
"Skill_Up_Exp_Desc","「Kungfu Insight」 {0}"
"Skill_Up_Max_Desc","Max"
"# 装备打造",""
"Craft_Base_Formation","Basic Materials"
"Craft_Item_Formation","Required Materials"
"Craft_Extra_Formation","Extra Materials"
"Craft_Btn_210006","Forge"
"Craft_Btn_None_210006","Cannot Forge - Insufficient Abilities."
"Craft_Btn_210009","Produce"
"Craft_Btn_None_210009","Cannot Produce - Insufficient Abilities."
"Craft_Btn_210010","Weave"
"Craft_Btn_None_210010","Cannot Weave - Insufficient Abilities."
"Craft_Btn_210011","Craft"
"Craft_Btn_None_210011","Cannot Craft - Insufficient Abilities."
"Craft_My_Product","My Gear"
"craft_part_name_0","Weave Hats"
"craft_part_name_1","Weave Clothes"
"craft_part_name_2","Weave Pants"
"craft_part_name_3","Forge Weapons"
"craft_part_name_4","Forge Concealed Weapons"
"craft_ability_desc_0","Usable after acquiring {0}."
"craft_ability_desc_1","Requires {0} Ability · Beginner"
"craft_ability_desc_2","Requires {0} Ability · Competent"
"craft_ability_desc_3","Requires {0} Ability · Proficient"
"craft_ability_desc_4","Requires {0} Ability · Master"
"craft_ability_desc_5","Requires {0} Ability · Grandmaster"
"craft_ability_desc_6","Requires {0} Ability · Perfected"
"split_btn_text","Dismantle"
"split_exp_desc","Can Gain Research EXP"
"split_desc","Put Gear in the Dismantling Research"
"split_desc1","Dismantle to obtain materials"
"# 获得道具提示",""
"Item_get_desc","Obtained <TDName>{0}</>x{1}"
"Equip_get_desc","Obtained {0} x{1}"
"# 天命界面",""
"Destiny_Active","Awakened"
"Destiny_UnActive","Unawakened"
"Destiny_Lock","Locked"
"Destiny_point","Karma Points"
"Destiny_Add","Add"
"Destiny_Cost","Consume"
"Destiny_Task_Finish","Achieved"
"Destiny_Task","Karma Objectives"
"Desctiny_Unlock_Task","Unlock Objectives"
"Destiny_Active_Destiny","Awaken Karma"
"Destiny_Unlock_Destiny","Locked Karma"
"Destiny_Point_To_ZhenQi_Tips","Unused Karma Points will be converted to {0} Chi."
"# 绝学效果描述",""
"Depend_Prop_zhangfa_attack","Palm ATK"
"Depend_Prop_quanfa_attack","Fist ATK"
"Depend_Prop_tuifa_attack","Kick ATK"
"Depend_Prop_bingqi_attack","Weapon ATK"
"Depend_Prop_anqi_attack","Concealed Weapon ATK"
"Skill_Dmg_Desc","Deals <dmg>{0}</> DMG"
"Skill_Dmg_All_Desc","Deals <dmg>{0}</> DMG to all enemies"
"Effect_Desc_42024","Attacks <dmg>7</> times consecutively， dealing <dmg>{0}</> DMG."
"Effect_Desc_42100","Grants your enemy <dmg>{0}</> stacks of <TipGreenOutLine>Cold</>."
"Effect_Desc_42101","Grants your enemy <dmg>{0}</> stacks of <TipGreenOutLine>Poison Gas</>."
"Effect_Desc_42102","Grants your enemy <dmg>{0}</> stacks of <TipGreenOutLine>Heat</>."
"Effect_Desc_42103","Grants opponent and yourself <dmg>{0}</> stacks of <TipGreenOutLine>Drunk</>."
"Effect_Desc_42105","Release Toxin Worms from the shortcut bar based on the current Skill position."
"Effect_Desc_42106","Turn all your Moves into Concealed Weapon Moves."
"Effect_Desc_42107","For every <dmg>{0}</> stacks of <TipGreenOutLine>Cold</> the opponent has， increase the move cost of a random skill of the opponent's by <dmg>{1}</>."
"Effect_Desc_42117","Restores <dmg>{0}%</> of your Vigor."
"Effect_Desc_42118","Doubles the opponent's <TipGreenOutLine>Heat</> stacks (Up to <dmg>{0}</> stacks)."
"Effect_Desc_42119","Draw <dmg>{0}</> Kick Moves."
"Effect_Desc_42120","For every <dmg>1</> animal you've tamed， increases the amount of hits by <dmg>1</> (Up to <dmg>{0}</>)."
"Effect_Desc_42121","Deals <dmg>{0}</> extra DMG based on the total stacks of <TipGreenOutLine>Drunk</> on both parties."
"Effect_Desc_42122","Steals <dmg>{0}</> Moves from opponent."
"Effect_Desc_42123","Deals extra <dmg>{0}</>x Concealed Weapon DMG."
"Effect_Desc_42124","If the opponent's <TipGreenOutLine>Misfortune</> stacks are above <dmg>{0}</>， inflict <dmg>1</> stack of <TipGreenOutLine>Ordeal Sigil</> on them."
"Effect_Desc_42125","Draw <dmg>{0}</> Moves from the top of the Move Deck."
"Effect_Desc_42126","Grants the opponent <dmg>{0}</> stacks of <TipGreenOutLine>Acupoint Block</>."
"Effect_Desc_42127","Grants the opponent <dmg>{0}</> stacks of <TipGreenOutLine>Misfortune</>."
"Effect_Desc_42128","After every <dmg>{0}</> casts， DMG is increased by <dmg>{1}</>. When there's no Kick on the battlefield， you can use this Skill <dmg>1</> time for free next turn."
"Effect_Desc_42129","Inflicts <dmg>{0}</> stacks of <TipGreenOutLine>Poison Gas</> to the opponent ."
"Effect_Desc_42130","Restores Vigor equal to <dmg>{0}</>x the <TipGreenOutLine>Cold</> stacks on the opponent."
"Effect_Desc_42131","Increases the number of hits by <dmg>1</> for every <dmg>{0}</> stacks of <TipGreenOutLine>Cold</> on the opponent."
"Effect_Desc_42132","Deals DMG equal to <dmg>{0}</>x the <TipGreenOutLine>Venom Ailments</> you have"
"Effect_Desc_42133","Draw <dmg>1</> Move. Based on the sum of <TipGreenOutLine>Drunk</> stacks on both sides， each <dmg>{0}</> stacks grant <dmg>1</> draw."
"Effect_Desc_42134","Gains <dmg>{0}</> stacks of <TipGreenOutLine>Drunk</>. Every time you lose <dmg>10%</> Vigor， you gain <dmg>{1}</> stacks of <TipGreenOutLine>Drunk</>."
"Effect_Desc_42135","Counters the opponent. You are able to counter every move this turn."
"Effect_Desc_42136","When the opponent's <TipGreenOutLine>Heat</> stacks are above <dmg>{0}</>， one of their gear is destroyed."
"Effect_Desc_42137","Throws out half of the Coins in your inventory. Each <dmg>{0}</> Coins deals <dmg>1</> DMG."
"Effect_Desc_42138","Swallows the <TipGreenOutLine>Toxins</> on the opponent. Each <TipGreenOutLine>Toxin</> grants <dmg>{0}</> Vigor and Max Vigor."
"Effect_Desc_42139","Grants yourself <dmg>{0}</> stacks of <TipGreenOutLine>「Spike」</>"
"Effect_Desc_42140","Grants yourself <dmg>{0}</> stacks of <TipGreenOutLine>「Golden Shield」</>"
"Effect_Desc_42141","Imitate one of the opponent’s Skills."
"Effect_Desc_42142","Reduces required Moves required for <dmg>1</> random Skill."
"Effect_Desc_42143","Inflicts <TipGreenOutLine>Crit</> to <dmg>{0}</> Moves. "
"Effect_Desc_42144","Randomly draw <dmg>{0}</> Moves from the Moves you have used."
"Effect_Desc_42145","For every Enmity in Relations， increases number of hits by <dmg>1</> and reduces Moves required by <dmg>1</>.\\n[Requires <TipGreenOutLine>Cold-blooded</>]."
"Effect_Desc_42146","Deals DMG equal to <dmg>{0}</> times the Chi difference when Chi is above the opponents."
"Effect_Desc_42147","Reduces the Moves required to cast another Skill (chosen randomly). For each Intimacy in Relations， reduces the Moves for casting this Skill by <dmg>1</>."
"Effect_Desc_42200","Expends <dmg>30%</> Vigor. Gain <dmg>{0}</> stacks of <TipGreenOutLine>Spike</> for every <dmg>100</> Vigor spent."
"Effect_Desc_42201","<TipGreenOutLine>Spikes</> are not removed this turn."
"Effect_Desc_42202","<TipGreenOutLine>Spikes</> trigger <dmg>{0}</> times this turn."
"Effect_Desc_42203","Deals extra DMG equal to <dmg>{0}</>x <TipGreenOutLine>Spike</> stacks you have."
"Effect_Desc_42210","Your Fist and Palm Moves counter Weapon Moves this turn."
"Effect_Desc_42211","Increases DMG by <dmg>{0}%</> whenever you use this Skill. "
"Effect_Desc_42212","Redraw all Normal Moves."
"Effect_Desc_42213","Inflicts random Debuffs on the opponent based on the number of Concealed Weapon Moves they have used this turn."
"Effect_Desc_42214","For every activated Skill， deals extra <dmg>{0}</>x Weapon DMG."
"Effect_Desc_42215","Increases DMG by <dmg>{0}%</> for every additional <dmg>1</> enemy hit. "
"Effect_Desc_42220","Delivers <dmg>{0}</> extra {1} this turn."
"Effect_Desc_42221","Delivers <dmg>{0}</> extra {1} this turn."
"Effect_Desc_42222","Delivers <dmg>{0}</> extra {1} this turn."
"Effect_Desc_42223","Delivers <dmg>{0}</> extra {1} this turn."
"Effect_Desc_42224","Delivers <dmg>{0}</> extra {1} this turn."
"Effect_Desc_42225","Increases Palm DMG by <dmg>{0}</>x for every <dmg>1</> additional Move delivered via Skills this turn."
"Effect_Desc_42230","Removes <dmg>{0}</> random opponent Moves. Moves removed can be used to activate your Skills. Can be used <dmg>{1}</> times per battle."
"Effect_Desc_42231","Removes one random type of Move from opponent."
"Effect_Desc_42232","Randomly replaces 1 Move of the opponents with another type."
"Effect_Desc_42233","Shuffle the opponent's Moves into your Normal Moves on the field， then evenly redistribute."
"Effect_Desc_42234","Increases Skill DMG by <dmg>100%</> for every <dmg>1</> more Normal Move you have on the field than the opponent's Moves. "
"Effect_Desc_42240","Grants yourself <dmg>1</> stack of <TipGreenOutLine>「Star Transfers」</>."
"Effect_Desc_42241","Grants yourself <dmg>1</> stack of <TipGreenOutLine>「Flower Transposition」</>."
"Effect_Desc_42242","Removes <dmg>{0}</> stacks of each type of your buffs."
"Effect_Desc_42243","Removes <dmg>{0}</> stacks of each type of your buffs， and increases Skill DMG by <dmg>{1}%</> for each stack removed."
"Effect_Desc_42244","Removes <dmg>{0}</> stacks of each type of your buffs， and restores <dmg>{1}</> Vigor for each stack removed. "
"Effect_Desc_42250","Changes <dmg>{0}</> random undelivered Moves into <dmg>1</> Void Move."
"Effect_Desc_42251","Changes <dmg>{0}</> random undelivered Technique Moves into Void Moves."
"Effect_Desc_42252","For every <dmg>1</> Void Move you have on the field or undelivered， number of hits <dmg>+1</>."
"Effect_Desc_42253","For every <dmg>{0}</> Weapon Moves you have on the field， creates <dmg>1</> Void Move on the field."
"Effect_Desc_42254","Draw Moves again based on the number of Moves on the field"
"Effect_Desc_42260","Dao guards the cosmos， life's parting it unfolds."
"Effect_Desc_42261","Dao divine and sacred， the profane shall evade."
"Effect_Desc_42262","Dao finds horizons， transgressors it unbinds."
"Effect_Desc_42263","Rise and fall Dao discerns， defiance shall meet its end."
"Effect_Desc_42264","Birth and ruin Dao beholds， strife and life in one flow."
"Effect_Desc_42270","Apply <TipGreenOutLine>Transcendence</> stacks to the opponent based on your Merit. "
"Effect_Desc_42271","If the opponent has more than <dmg>{0}</> stacks of <TipGreenOutLine>Transcendence</>， they cannot cast Skills next turn."
"Effect_Desc_42272","If the opponent has no activated Skills， double their current <TipGreenOutLine>Transcendence</> stacks."
"Effect_Desc_42273","During this fight， each time you play the same Move as your opponent， increase their <TipGreenOutLine>Transcendence</> stacks accordingly. "
"Effect_Desc_42280","Can be used once per turn. Grant <TipGreenOutLine>Crit</> to <dmg>{0}</> Weapon Moves on the field， prioritizing Moves without <TipGreenOutLine>Crit</>. If the Moves have <TipGreenOutLine>Crit</>， upgrade <TipGreenOutLine>Crit</> to <TipGreenOutLine>Pierce</>."
"Effect_Desc_42281","If there are more than <dmg>3</> Rare Swords in your Sword Case， deal damage to all enemies. The opponent's number of Moves next turn is reduced by <dmg>{0}</>， and they cannot use <TipGreenOutLine>Combo Moves</>."
"Effect_Desc_42282","If there are more than <dmg>3</> Legendary Swords in your Sword Case， deal damage to all enemies. The opponent cannot use <TipGreenOutLine>[Changeable Moves or Omni Moves]</> next turn."
"Effect_Desc_42283","If your Sword Case is full， draw <dmg>{0}</> Weapon Moves and grant them <TipGreenOutLine>Crit</>. "
"Effect_Desc_42284","If all of your Weapon Moves on the field have <TipGreenOutLine>Crit</>， grant special effects based on the number of Moves."
"Effect_Desc_42290","If you have an odd number of <TipGreenOutLine>Momentum</> stacks， draw <dmg>{0}</> extra Moves next turn."
"Effect_Desc_42291","If you have more than <dmg>{0}</> <TipGreenOutLine>Momentum</> stacks， cancel all of the opponent's activated Skills."
"Effect_Desc_42292","Consume all <TipGreenOutLine>Momentum</> stacks. For every <dmg>1</> stack consumed， deal damage <dmg>1</> more time."
"Effect_Desc_42293","Remove all of your positive buffs. For every <dmg>{0}</> stacks removed， restore an amount of lost Vigor and gain <TipGreenOutLine>Unarmored</>."
"Effect_Desc_42294","When your Defense Level is reduced， immediately gain <dmg>{0}</> stacks of Momentum."
"Effect_Desc_42330",""
"Effect_Desc_42331",""
"Effect_Desc_42332",""
"#动物绝学",""
"Effect_Desc_42300",""
"Effect_Desc_42301",""
"Effect_Desc_42302",""
"Effect_Desc_42303",""
"Effect_Desc_42304",""
"Effect_Desc_42305",""
"Effect_Desc_42306",""
"Effect_Desc_42307",""
"Effect_Desc_43000",""
"Effect_Desc_43001","Has a chance to turn the target into a eunuch."
"# 绝学真气加成描述",""
"skill_prop_xuan_yin_zhenqi_lv","\\n\\n<ZQ_XuanYin>「Chi of the Moon」 Bonus</>"
"skill_prop_chun_yang_zhenqi_lv","\\n\\n<ZQ_ChunYang>「Chi of the Sun」 Bonus</>"
